2533, 11730635691300645602
square 25 151
root 5 1
half 2 1
square 4 4
square 16 61
square 256 16321
square 65536 1073725441
half 32768 8193
half 16384 4097
root 128 30
half 64 17
root 8 2
decrease 7 2
square 49 589
square 2401 1440601
square 5764801 8308231201201
half 2882400 720601
half 1441200 360301
half 720600 180151
half 360300 90076
half 180150 45038
half 90075 22519
half 45037 11260
half 22518 5630
square 507060324 64277542916981164
half 253530162 63382541
half 126765081 31691271
root 11259 2789
half 5629 1408
square 31685641 250994953473811
half 15842820 3960706
half 7921410 1980353
half 3960705 990177
half 1980352 495089
half 990176 247545
half 495088 123773
half 247544 61887
half 123772 30944
half 61886 15472
half 30943 7736
square 957469249 229186840455788689
half 478734624 119683657
half 239367312 59841829
half 119683656 29920915
half 59841828 14960458
half 29920914 7480229
half 14960457 3740115
half 7480228 1870058
half 3740114 935029
half 1870057 467515
half 935028 233758
half 467514 116879
half 233757 58440
half 116878 29220
half 58439 14610
half 29219 7305
square 853749961 182222248763437891
half 426874980 106718746
half 213437490 53359373
half 106718745 26679687
half 53359372 13339844
half 26679686 6669922
half 13339843 3334961
half 6669921 1667481
half 3334960 833741
half 1667480 416871
half 833740 208436
half 416870 104218
half 208435 52109
half 104217 26055
half 52108 13028
half 26054 6514
square 678810916 115196064750487036
half 339405458 84851365
half 169702729 42425683
root 13027 3229
half 6513 1629
square 42419169 449846464057849
half 21209584 5302397
half 10604792 2651199
half 5302396 1325600
half 2651198 662800
half 1325599 331400
half 662799 165700
half 331399 82850
half 165699 41425
half 82849 20713
half 41424 10357
half 20712 5179
square 428986944 46007449423368049
half 214493472 53623369
half 107246736 26811685
root 10356 2564
half 5178 1295
square 26811684 179716593026044
half 13405842 3351461
half 6702921 1675731
root 2589 635
half 1294 324
square 1674436 700933560916
half 837218 209305
half 418609 104653
root 647 156
half 323 81
square 104329 2721108979
half 52164 13042
half 26082 6521
square 680270724 115692064312803364
half 340135362 85033841
half 170067681 42516921
root 13041 3232
half 6520 1631
square 42510400 451783516412401
half 21255200 5313801
half 10627600 2656901
root 3260 801
half 1630 408
square 2656900 1764778738276
half 1328450 332113
half 664225 166057
root 815 197
half 407 102
square 165649 6859856389
half 82824 20707
half 41412 10354
half 20706 5177
square 428738436 45954161518746916
half 214369218 53592305
half 107184609 26796153
root 10353 2564
half 5176 1295
square 26790976 179439092060401
half 13395488 3348873
half 6697744 1674437
root 2588 635
decrease 2587 2
square 6692569 11197618281799
half 3346284 836572
half 1673142 418286
half 836571 209143
half 418285 104572
half 209142 52286
half 104571 26143
half 52285 13072
half 26142 6536
square 683404164 116760312672283684
half 341702082 85425521
half 170851041 42712761
root 13071 3240
half 6535 1634
square 42706225 455955402761101
half 21353112 5338279
half 10676556 2669140
half 5338278 1334570
half 2669139 667285
half 1334569 333643
half 667284 166822
half 333642 83411
half 166821 41706
half 83410 20853
half 41705 10427
half 20852 5214
square 434805904 47264043429612829
half 217402952 54350739
half 108701476 27175370
root 10426 2582
half 5213 1304
square 27175369 184625163277699
half 13587684 3396922
half 6793842 1698461
half 3396921 849231
half 1698460 424616
half 849230 212308
half 424615 106154
half 212307 53077
half 106153 26539
half 53076 13270
half 26538 6635
square 704265444 123997453727062924
half 352132722 88033181
half 176066361 44016591
root 13269 3289
half 6634 1659
square 44009956 484219045777996
half 22004978 5501245
half 11002489 2750623
root 3317 816
half 1658 415
square 2748964 1889200081084
half 1374482 343621
half 687241 171811
root 829 201
half 414 104
square 171396 7344104356
half 85698 21425
half 42849 10713
root 207 49
half 103 26
square 10609 28135069
square 112550881 3166925175331321
half 56275440 14068861
half 28137720 7034431
half 14068860 3517216
half 7034430 1758608
half 3517215 879304
half 1758607 439652
half 879303 219826
half 439651 109913
half 219825 54957
half 109912 27479
half 54956 13740
half 27478 6870
square 755040484 142521532930978444
half 377520242 94380061
half 188760121 47190031
root 13739 3406
half 6869 1718
square 47183161 556562658692191
half 23591580 5897896
half 11795790 2948948
half 5897895 1474474
half 2948947 737237
half 1474473 368619
half 737236 184310
half 368618 92155
half 184309 46078
half 92154 23039
half 46077 11520
half 23038 5760
square 530749444 70423742943889924
half 265374722 66343681
half 132687361 33171841
root 11519 2854
